kepid,tce_plnt_num,pred_score,pred_class,norm_kepid
000757099,01,0.000,0,100001645
000757450,01,0.999,1,100001645
000892376,01,0.000,0,100001645
000892667,01,0.000,0,100001645
000892772,01,0.000,0,100001645
000893647,01,0.000,0,100001645
001025986,01,0.000,0,100001645
001026032,01,0.000,0,100001645
001026133,01,0.000,0,100001645
001026474,01,0.000,0,100001645
001026957,01,1.000,1,100001645
001028018,01,0.000,0,100001645
001028246,01,0.000,0,100001645
001160891,01,0.000,0,100001645
001161345,01,0.711,1,100001645
001162150,01,0.000,0,100001645
001162339,01,0.000,0,100001645
001162345,01,0.000,0,100001645
001292087,01,0.000,0,100001645
001293031,01,0.000,0,100001645
001293046,01,0.000,0,100001645
001294670,01,0.000,0,100001645
001294756,01,0.000,0,100001645
001294869,01,0.000,0,100001645
001296164,01,0.000,0,100001645
001296721,01,0.000,0,100001645
001297272,01,0.000,0,100001645
001429120,01,0.000,0,100001645
001429653,01,0.000,0,100001645
001430590,01,0.000,0,100001645
001431114,01,0.000,0,100001645
001431122,01,0.990,1,100001645
001431501,01,0.000,0,100001645
001431794,01,0.000,0,100001645
001432091,01,0.000,0,100001645
001432149,01,0.000,0,100001645
001432214,01,0.000,0,100001645
001432789,01,0.848,1,100001645
001433399,01,0.000,0,100001645
001433899,01,0.000,0,100001645
001433962,01,0.000,0,100001645
001433980,01,0.000,0,100001645
001434395,01,0.014,0,100001645
001434660,01,0.000,0,100001645
001434800,01,0.000,0,100001645
001434976,01,0.000,0,100001645
001435448,01,0.000,0,100001645
001570349,01,0.000,0,100001645
001570924,01,0.000,0,100001645
001571152,01,0.000,0,100001645
001571511,01,0.004,0,100001645
001571717,01,0.000,0,100001645
001572114,01,0.000,0,100001645
001572201,01,0.000,0,100001645
001572948,01,0.000,0,100001645
001573094,01,0.000,0,100001645
001573138,01,0.000,0,100001645
001573174,01,0.000,0,100001645
001574792,01,0.000,0,100001645
001575690,01,0.000,0,100001645
001575873,01,1.000,1,100001645
001575977,01,0.000,0,100001645
001576115,01,0.000,0,100001645
001576144,01,0.000,0,100001645
001577039,01,0.000,0,100001645
001577912,01,0.000,0,100001645
001717528,01,0.000,0,100001645
001717722,01,0.000,0,100001645
001718189,01,1.000,1,100001645
001718594,01,0.000,0,100001645
001718958,01,0.985,1,100001645
001719308,01,0.000,0,100001645
001720673,01,0.000,0,100001645
001721157,01,0.970,1,100001645
001721614,01,0.000,0,100001645
001722276,01,0.000,0,100001645
001722506,01,0.000,0,100001645
001722916,01,0.000,0,100001645
001723078,01,0.246,1,100001645
001724222,01,0.000,0,100001645
001724513,01,0.000,0,100001645
001724719,01,0.956,1,100001645
001724842,01,0.000,0,100001645
001724961,01,0.000,0,100001645
001724968,01,0.000,0,100001645
001725016,01,1.000,1,100001645
001725193,01,0.000,0,100001645
001726231,01,0.000,0,100001645
001849235,01,0.000,0,100001645
001849555,01,0.000,0,100001645
001849702,01,1.000,1,100001645
001865042,01,0.998,1,100001645
001865567,01,0.000,0,100001645
001865864,01,0.523,1,100001645
001866252,01,0.000,0,100001645
001868404,01,0.384,0,100001645
001868524,01,0.000,0,100001645
001869607,01,0.000,0,100001645
001870398,01,0.000,0,100001645
001870849,01,0.000,0,100001645
001871056,01,0.976,1,100001645
001872192,01,0.000,0,100001645
001872262,01,0.000,0,100001645
001872340,01,0.000,0,100001645
001872821,01,1.000,1,100001645
001872885,01,0.000,0,100001645
001872948,01,0.000,0,100001645
001873513,01,0.998,1,100001645
001873543,01,0.000,0,100001645
001995323,01,0.000,0,100001645
001995431,01,0.000,0,100001645
001995519,01,0.952,1,100001645
001995712,01,0.000,0,100001645
001995732,01,0.000,0,100001645
001996180,01,0.999,1,100001645
001996399,01,0.000,0,100001645
001996679,01,0.000,0,100001645
002010152,01,0.058,0,100001645
002010191,01,0.000,0,100001645
002010414,01,0.000,0,100001645
002010607,01,0.000,0,100001645
002011424,01,0.000,0,100001645
002012722,01,0.000,0,100001645
002013754,01,0.000,0,100001645
002013883,01,0.000,0,100001645
002014991,01,0.000,0,100001645
002016979,01,0.000,0,100001645
002017224,01,0.000,0,100001645
002017692,01,0.000,0,100001645
002017803,01,0.000,0,100001645
002018261,01,0.000,0,100001645
